,,data
0,Title: ,
1,Author(s): ,
2,Link to Profile: ,
3,,
4,Insight: ,Heydemann
5,Answer: ,mock answer: 0.10087973819513152
6,Score: ,5
7,Answer: ,mock answer: 0.15859202509100012
8,Score: ,3
9,Answer: ,mock answer: 0.20347546733421984
10,Score: ,3
11,Answer: ,mock answer: 0.8877581211878867
12,Score: ,3
13,,
14,Insight: ,gender
15,Answer: ,mock answer: 0.7328834676291877
16,Score: ,3
17,Answer: ,mock answer: 0.06808530770650334
18,Score: ,2
19,Answer: ,mock answer: 0.8462726267220992
20,Score: ,1
21,Answer: ,mock answer: 0.0559968137992658
22,Score: ,1
23,,
24,Insight: ,number_inputs
25,Answer: ,120
26,Score: ,2
27,Answer: ,
28,Score: ,1
29,Answer: ,20
30,Score: ,1
31,Answer: ,30
32,Score: ,1
33,Answer: ,50
34,Score: ,1
35,Answer: ,70
36,Score: ,1
